Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Grail × Reese Cooper × Streetwear,<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>Cotton Herringbone Stamp Print Cargo Pant,42,Gently Used,Khaki,32,$129 ,10,TRUE,"<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>
**READ THIS FIRST**
• If you're just here to be a dick, keep it moving and take that shit elsewhere <U+0001F60A>
• No returns. If you have a question or need more pics please ask.
• No refunds. If you have a question or need more pics please ask.
• Ships anywhere within the USA usually 2-day priority.
• Overseas shipping is available <U+0001F6A8>BUT YOU MUST PAY SHIPPING AND IT'S NOT CHEAP<U+0001F6A8> I don't set the prices, that's just the reality of international shipping, PLEASE DO NOT COMPLAIN ABOUT SHIPPING PRICES!
• Please ask all questions before making offers. Offers are BINDING so once I accept the payment goes through.
• Serious inquiries only please.
• If you lowball please stop using Grailed. You will be ignored and blocked.
• Shipping times may take up to 7 days depending on location.
• Bundle discount on two or more items purchased, check out my other stuff for sale! <U+270C><U+FE0F><U+0001F918><U+0001F91D>
<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>
Reese Cooper PYROPHYTE COLLECTION STAMP PRINT CARGO PANT
Gently used, worn maybe 3 times, no major flaws.
Fit pic for reference in the green color way.
Retails for $628
From Reese:
An RCI staple, the Cotton Herringbone Cargo Pant, returns this season featuring an updated print. Drawing inspiration from the etching of a tree, our custom Etching Camo is seen in both sage and khaki. Per usual, the cargo pants feature cargo pockets throughout and the RCI signature hook detail is finished at the waistband.
Zipper fly
Raccagni zipper
Button closure
Welt hand pockets on front
Welt pockets with flap on back
Cargo pockets with flap and snap closure throughout
Panelling in knee
Adjustable velcro strap on ankle
RCI signature hook detail on waistband
Made in Los Angeles, CA
<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>"
Reese Cooper,Reese Cooper Denim Cargo Pants,1,New,Denim,34,$224 ,2,TRUE,"Brand New w/ Tags
Retail- $500+
Size 34x32
Ships Next Day
Send Offers"
Reese Cooper,"Final drop, repost in 72hrs COORDINATE JEANS",27,Gently Used,Blue,34,$120 ,5,TRUE,"Worn a few times but have zero flaws
Can fit a 36 imo
Grab a sweet pair of denim from an early Reese Cooper collection!
Open to offers but plz don’t lowball"
Levi's × Reese Cooper,Reese Cooper Levi’s Straight Fit Denim Jean,21,New,Blue,32,$170 ,5,TRUE,"Size 32x34
Custom RCI x Levis hardware and back tab
RCI embroidery above right knee blowout
Signature RCI hook on belt loop
Ships with original tags and packaging"
Reese Cooper,Reese Cooper Pintuck Trousers,1,New,Beige,34,$152 ,19,TRUE,"Size:34x34
Retail: $400
Condition: New with tags
100% authentic
Fast shipper
Dm with any questions"
Reese Cooper,Reese Cooper AW21 Forest Pants,13,Gently Used,Green,34,$180 ,5,FALSE,"Released from the A/W 2021 “Pyrophyte”collection
Size L fits baggy
Probably the highest quality/heaviest pants I’ve owned
Slight distressing due to the “worn” Reese Cooper look"
Reese Cooper,Reese Cooper RIVER RUNS THROUGH Cargo Short,12,Used,Black,28,$105 ,5,FALSE,"Beautifully constructed shorts from Reese Cooper. Used, but sturdy and no damage is present. Size 28, I normally wear a size 30 and they fit perfectly."
Reese Cooper,reese cooper cargo pants,46,Used,Black,32,$130 ,11,FALSE,"reese cooper hitchhiking cargo pant
size 32
i did some tailoring to these pants just to make them a little more skinny, but they still fit exactly like a 32.
if you need measurements i will provide.
i added some fit pictures
amazing quality on these pants. retail was $400
located in nyc
thanks, all sales final"
Reese Cooper,River Runs Through SS21 Cargo Pants Cotton,39,New,White,36,$194 ,6,TRUE,Brand new with tag. Retails $360+ Perfect for spring.
Reese Cooper,Reese Cooper Special Projects Cargo Pants,12,New,Blue,32,$142 ,6,TRUE,"Rare waxed cotton Reese Cooper Cargo pants
Retail: $448
Brand new
Size 30, but fits like a 32"
Levi's × Reese Cooper,Levi's X REESE COOPER Denim Jeans,12,Gently Used,Denim,36,$377 ,10,TRUE,"This limited collaboration denim collection between Levi's and REESE COOPER has it's unqiue wash and treatment to the denim. Looks even better in person!
Waist: 36 Length: 34"
